General
Serial Number,IQDVT Version,CV VERSION,DUT VERSION,Date,Time
,1.8.7.2,wlan_7.2.300@r1044+a+233+a+23-e90bc1,2.27.1_r1044+a+233+a+23-e90bc1,2026/1/19,16:31
XTAL Calibration
Test,Band,OffsetWord,Freq Offset[PPM],Limit,Temperature,Pass/Fail
1,2G,46,0.07, ,47,Pass
TX Calibration 24GHz
Test,Band,Tx Mode,Ant,Rate,BW,Frequency,Clock Error,Power offset,Measure Power,Power Limit,Power Pass/Fail,Power @ EVM -25dB,Max Power Evm,Power & EVM Limit [>=23dBm] [<=-25dB],Power @ EVM -35dB,UEvm, Power & EVM Limit [>=20dBm] [<=-35dB],S2D GAIN Reg1,S2D OFFSET Reg1,COEFF A Reg1,COEFF B Reg1,Error Reg1,Error Limit Reg1 [<1],Temp,Pass/Fail
8.3,5G,802.11ax,3,MCS7,40MHz,5670,-0.38,31,17.50,(17.00 - 18.00),Pass,21.99,-28.42,Pass,20.06,-39.51,Pass,3,41,486,-1089,0.33,Pass,49,Pass
8.4,5G,802.11ax,0,MCS7,40MHz,5795,-0.38,35,17.48,(17.00 - 18.00),Pass,21.99,-25.57,Pass,19.04,-37.90,Pass,4,44,365,1232,0.19,Pass,50,Pass
8.4,5G,802.11ax,1,MCS7,40MHz,5795,-0.40,35,17.57,(17.00 - 18.00),Pass,22.05,-25.06,Pass,19.11,-37.01,Pass,3,45,457,-353,0.32,Pass,50,Pass
8.4,5G,802.11ax,2,MCS7,40MHz,5795,-0.40,35,17.58,(17.00 - 18.00),Pass,22.02,-26.33,Pass,20.11,-36.13,Pass,4,44,367,1266,0.34,Pass,50,Pass
8.4,5G,802.11ax,3,MCS7,40MHz,5795,-0.42,34,17.69,(17.00 - 18.00),Pass,22.17,-25.64,Pass,19.28,-39.77,Pass,4,44,364,1093,0.27,Pass,50,Pass
TX Calibration 5GHz
Test,Band,Tx Mode,Ant,Rate,BW,Frequency,Clock Error,Power offset,Measure Power,Power Limit,Power Pass/Fail,Power @ EVM -25dB,Max Power Evm,Power & EVM Limit [>=19dBm] [<=-25dB],Power @ EVM -36dB,UEvm, Power & EVM Limit [>=16dBm] [<=-36dB],S2D GAIN Reg1,S2D OFFSET Reg1,COEFF A Reg1,COEFF B Reg1,Error Reg1,Error Limit Reg1 [<1],Temp,Pass/Fail
9.1,5G,802.11ax,0,MCS7,80MHz,5210,-0.43,35,17.56,(17.00 - 18.00),Pass,23.08,-25.96,Pass,20.10,-37.44,Pass,4,41,368,1120,0.21,Pass,50,Pass
9.1,5G,802.11ax,1,MCS7,80MHz,5210,-0.45,34,17.39,(17.00 - 18.00),Pass,22.89,-25.92,Pass,19.91,-38.15,Pass,3,43,462,-314,0.36,Pass,50,Pass
9.1,5G,802.11ax,2,MCS7,80MHz,5210,-0.46,35,17.71,(17.00 - 18.00),Pass,23.18,-25.46,Pass,20.24,-37.22,Pass,4,42,372,1277,0.42,Pass,50,Pass
9.1,5G,802.11ax,3,MCS7,80MHz,5210,-0.48,34,17.68,(17.00 - 18.00),Pass,23.11,-25.77,Pass,20.20,-38.89,Pass,4,42,367,1142,0.27,Pass,50,Pass
9.2,5G,802.11ax,0,MCS7,80MHz,5530,-0.47,34,17.52,(17.00 - 18.00),Pass,22.06,-27.64,Pass,20.08,-37.43,Pass,4,42,366,1167,0.29,Pass,50,Pass
9.2,5G,802.11ax,1,MCS7,80MHz,5530,-0.50,35,17.56,(17.00 - 18.00),Pass,22.01,-26.65,Pass,20.05,-36.84,Pass,3,43,458,-365,0.35,Pass,50,Pass
9.2,5G,802.11ax,2,MCS7,80MHz,5530,-0.51,35,17.62,(17.00 - 18.00),Pass,22.10,-27.54,Pass,20.14,-36.04,Pass,4,41,370,945,0.41,Pass,50,Pass
9.2,5G,802.11ax,3,MCS7,80MHz,5530,-0.52,34,17.67,(17.00 - 18.00),Pass,22.15,-27.09,Pass,20.22,-37.11,Pass,4,43,365,1293,0.32,Pass,50,Pass
9.3,5G,802.11ax,0,MCS7,80MHz,5610,-0.53,33,17.27,(17.00 - 18.00),Pass,22.87,-29.10,Pass,20.87,-39.45,Pass,4,42,368,1217,0.23,Pass,50,Pass
9.3,5G,802.11ax,1,MCS7,80MHz,5610,-0.54,35,17.71,(17.00 - 18.00),Pass,23.29,-26.48,Pass,20.26,-38.61,Pass,3,43,460,-330,0.29,Pass,51,Pass
9.3,5G,802.11ax,2,MCS7,80MHz,5610,-0.56,34,17.28,(17.00 - 18.00),Pass,22.89,-29.21,Pass,20.87,-36.51,Pass,4,41,372,981,0.32,Pass,50,Pass
9.3,5G,802.11ax,3,MCS7,80MHz,5610,-0.57,33,17.32,(17.00 - 18.00),Pass,22.87,-27.29,Pass,20.92,-37.41,Pass,4,42,367,1061,0.23,Pass,50,Pass
9.4,5G,802.11ax,0,MCS7,80MHz,5775,-0.57,35,17.51,(17.00 - 18.00),Pass,22.01,-25.35,Pass,19.07,-40.63,Pass,4,43,363,1052,0.30,Pass,50,Pass
9.4,5G,802.11ax,1,MCS7,80MHz,5775,-0.58,35,17.67,(17.00 - 18.00),Pass,21.18,-27.95,Pass,19.20,-38.39,Pass,3,45,454,-262,0.48,Pass,51,Pass
9.4,5G,802.11ax,2,MCS7,80MHz,5775,-0.60,35,17.64,(17.00 - 18.00),Pass,21.19,-29.33,Pass,19.18,-40.14,Pass,3,43,486,-837,0.48,Pass,50,Pass
9.4,5G,802.11ax,3,MCS7,80MHz,5775,-0.61,34,17.66,(17.00 - 18.00),Pass,21.24,-28.94,Pass,19.26,-39.49,Pass,4,44,363,1152,0.38,Pass,50,Pass
TX Calibration 5GHz
Test,Band,Tx Mode,Ant,Rate,BW,Frequency,Clock Error,Power offset,Measure Power,Power Limit,Power Pass/Fail,Power @ EVM -25dB,Max Power Evm,Power & EVM Limit [>=19dBm] [<=-25dB],Power @ EVM -36dB,UEvm, Power & EVM Limit [>=16dBm] [<=-36dB],S2D GAIN Reg1,S2D OFFSET Reg1,COEFF A Reg1,COEFF B Reg1,Error Reg1,Error Limit Reg1 [<1],Temp,Pass/Fail
10.1,5G,802.11ax,0,MCS7,160MHz,5250,-0.62,36,17.63,(17.00 - 18.00),Pass,22.06,-27.81,Pass,19.14,-39.23,Pass,4,42,368,1194,0.21,Pass,50,Pass
10.1,5G,802.11ax,1,MCS7,160MHz,5250,-0.64,35,17.47,(17.00 - 18.00),Pass,22.74,-25.33,Pass,19.92,-37.19,Pass,3,42,461,-669,0.28,Pass,51,Pass
10.1,5G,802.11ax,2,MCS7,160MHz,5250,-0.65,35,17.44,(17.00 - 18.00),Pass,22.73,-25.87,Pass,19.90,-37.32,Pass,4,41,373,896,0.35,Pass,51,Pass
10.1,5G,802.11ax,3,MCS7,160MHz,5250,-0.67,34,17.34,(17.00 - 18.00),Pass,22.65,-25.90,Pass,19.83,-37.71,Pass,4,43,369,1249,0.25,Pass,50,Pass
10.2,5G,802.11ax,0,MCS7,160MHz,5570,-0.69,34,17.65,(17.00 - 18.00),Pass,23.09,-26.15,Pass,20.22,-38.80,Pass,4,42,368,1255,0.20,Pass,51,Pass
10.2,5G,802.11ax,1,MCS7,160MHz,5570,-0.72,35,17.66,(17.00 - 18.00),Pass,23.02,-25.26,Pass,20.14,-37.48,Pass,4,43,347,1488,0.22,Pass,51,Pass
10.2,5G,802.11ax,2,MCS7,160MHz,5570,-0.72,35,17.65,(17.00 - 18.00),Pass,23.09,-25.84,Pass,20.18,-36.65,Pass,4,41,372,984,0.27,Pass,51,Pass
10.2,5G,802.11ax,3,MCS7,160MHz,5570,-0.74,34,17.70,(17.00 - 18.00),Pass,23.10,-25.27,Pass,20.28,-37.78,Pass,4,43,368,1321,0.25,Pass,51,Pass
RX Calibration 5G
